;AI Functionality;AIaaS Baseline Service;;Required Resources / Infrastructure;;AIaaS Baseline Service Composition;AIaaS Baseline Service Configuration;;AIaaS Powered Solution;;Value Proposition to Customer;Selling Technique;AI Disclosure;;Sources;
Successful AIaaS Mediation Case;;Service Type;Service Interface;Human Resources;Data Source;;AI Model Building;AI Model Updates;Solution Type;Solution Interface;;;;;;
docunite GmbH;"Classification, Clustering; Computer Vision; NLP";MLaaS;API;"General IT Knowledge; AI User-Level Knowledge";"Internal Data; Customer Data";"Data Labeling; Data Pre-Processing; API Management";Self-Configuring (AutoML);On-Demand/Batch;"Automation; Optimization";UI;Efficiency;None;Communication of AI Integration (Marketing);;https://www.microsoft.com/DE-DE/customers/story/1734308506276180845-docunite-gmbh-azure-machine-learning-professional-services-en-germany;https://docunite.com/
ASC Technologies AG;"Classification, Clustering; NLP";InfaaS;API;AI User-Level Knowledge;Customer Data;"Data Pre-Processing; API Management";Fine-Tuning;On-Demand/Batch;"Customer Support; Analytics";UI;"Quality; Insight";None;AI in the background;;https://www.microsoft.com/DE-DE/customers/story/1615444758685258325-asc-teams-azure-en;https://www.asctechnologies.com/de/
Cyntegrity Germany GmbH;"Classification, Clustering; Regression; NLP";SaaS;API;"AI User-Level Knowledge; Specialized AI/DS Knowledge";Customer Data;"Data Labeling; Data Pre-Processing; API Management";Fine-Tuning;Continious/Online/Stream;"Customer Support; Analytics";"API; UI";"Quality; Cost Reduction; Insight";Up Selling;AI in the background;;https://www.microsoft.com/DE-DE/customers/story/1577022576894276089-cyntegrity-azure-en;https://cyntegrity.com/
Hike;"Classification, Clustering; NLP";MLaaS;API;AI User-Level Knowledge;Customer Data;API Management;Self-Configuring (AutoML);Continious/Online/Stream;"Automation; Optimization";UI;Personalization;None;AI in the background;;https://cloud.google.com/customers/hike;
DOMCURA;"NLP; LLM";SaaS;API;AI User-Level Knowledge;"Internal Data; Customer Data";API Management;Fine-Tuning;On-Demand/Batch;"Automation; Optimization; Customer Support";Chatbot;"Quality; Efficiency";None;AI in the background;;https://www.microsoft.com/DE-DE/customers/story/1490014638034523270-domcura-parloa-azure-en;
Arize AI;"Classification, Clustering; Regression; LLM";InfaaS;API;"AI User-Level Knowledge; Specialized AI/DS Knowledge";Customer Data;No Additional Services;Fine-Tuning;Continious/Online/Stream;"Optimization; Analytics";UI;"Quality; Efficiency; Insight";Up Selling;Communication of AI Integration (Marketing);;https://arize.com/;
SeeTree;"Classification, Clustering; Computer Vision";MLaaS;API;"AI User-Level Knowledge; Specialized AI/DS Knowledge";"Customer Data; Other External Data";"Data Labeling; Data Pre-Processing; API Management";Fine-Tuning;Continious/Online/Stream;"Optimization; Analytics";UI;"Cost Reduction; Efficiency; Insight";None;Communication of AI Integration (Marketing);;https://www.seetree.ai/;
3 PM Solutions;Classification, Clustering;IaaS;API;"General IT Knowledge; AI User-Level Knowledge";"Customer Data; Public Data";"Data Pre-Processing; API Management";Fine-Tuning;On-Demand/Batch;"Customer Support; Analytics";"API; UI";"Efficiency; Insight";Cross Selling;AI in the background;;https://cloud.google.com/customers/3pm;
Fetcherr;Regression;InfaaS;UI;AI User-Level Knowledge;"Customer Data; Other External Data";Data Pre-Processing;Self-Configuring (AutoML);Continious/Online/Stream;"Automation; Customer Support; Analytics";UI;"Cost Reduction; Insight";None;Communication of AI Integration (Marketing);;https://cloud.google.com/customers/fetcherr;
Anaplan;"Classification, Clustering; Regression";SaaS;API;AI User-Level Knowledge;Customer Data;API Management;Self-Configuring (AutoML);Continious/Online/Stream;Optimization;"API; UI";"Quality; Cost Reduction; Efficiency";None;Communication of AI Integration (Marketing);;https://cloud.google.com/customers/anaplan;
Apex E3;"Classification, Clustering; LLM";SaaS;API;General IT Knowledge;"Internal Data; Customer Data; Public Data";API Management;Fine-Tuning;Continious/Online/Stream;Optimization;"API; UI";"Cost Reduction; Efficiency; Insight";Up Selling;AI in the background;;https://cloud.google.com/customers/apexe3;
