Provider;AIaaS Baseline Service;Sources;AIaaS Cost Structure;AIaaS Core Functionality;AIaaS Baseline Service Interface;Human Resources;Data Source;Data Types;AI Model Building;AI Model Updates;Service Archetypes;Value Proposition
AWS;"AWS Amazon Bedrock; Chatbots, Callcenter Unterstützung, Gesprächsanalyse -> Omnimodale Kommunkiationsplatform; ";"https://aws.amazon.com/de/ai/use-cases/?use-cases.sort-by=item.additionalFields.priority&use-cases.sort-order=asc&awsf.use-case-area=*all&awsf.industry=*all&awsf.business-function=*all&awsf.business-outcome=*all&awsf.type=*all ; https://aws.amazon.com/de/bedrock/?nc2=h_ql_prod_ml_br";"Pay per Use; Subscription";(Multimodal) LLM;"Inference API; AI Training API";General IT Knowledge;"No Specific Data; Internal Data";"Semi-Structured Data; Unstructured Data";Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Quality; Performance; Convenience"
AWS;"AWS Comprehend  Document Insights; Amazon Comprehend Medica,; Chat with Documents, Intelligent Search ";"https://aws.amazon.com/de/ai/use-cases/?use-cases.sort-by=item.additionalFields.priority&use-cases.sort-order=asc&awsf.use-case-area=*all&awsf.industry=*all&awsf.business-function=*all&awsf.business-outcome=*all&awsf.type=*all; https://docs.aws.amazon.com/de_de/comprehend/latest/dg/concepts-insights.html; https://aws.amazon.com/de/ai/use-cases/?use-cases.sort-by=item.additionalFields.priority&use-cases.sort-order=asc&awsf.use-case-area=*all&awsf.industry=*all&awsf.business-function=*all&awsf.business-outcome=*all&awsf.type=*all";"Pay per Use; Subscription";"NLP; LLM; Other";AI Training API;General IT Knowledge;"Internal Data; Customer Data";Semi-Structured Data;Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Performance; Convenience"
AWS;Amazon Forecast;https://aws.amazon.com/de/forecast/?nc1=h_ls;"Pay per Use; Subscription";Regression;AI Training API;General IT Knowledge;"Internal Data; Customer Data";Structured Data;Full Model Training;"Continuous; Periodic/Batch; On-Demand/Batch";"Analytics; Automation";Insight
AWS;AWS Lookout for Equipment;https://aws.amazon.com/de/lookout-for-equipment/?nc2=h_ql_prod_ml_lfe;Pay Per Use;"Classification, Clustering; Regression";"AI Training API; Task-Specific Services";General IT Knowledge;"Internal Data; Customer Data";Structured Data;Full Model Training;Continuous;"Analytics; Automation";Insight
AWS;AWS Lookout for Metrics;https://aws.amazon.com/de/lookout-for-metrics/?nc2=h_ql_prod_ml_lfm;Pay Per Use;"Classification, Clustering; Regression";"AI Training API; Task-Specific Services";General IT Knowledge;"Internal Data; Customer Data";Structured Data;Full Model Training;Continuous;"Analytics; Automation";Insight
AWS;"AWS Monitron: Product Maintainance (predictive, preventive), Real Time Diagonosis; Improved Field Work";"https://aws.amazon.com/de/monitron/?nc2=h_ql_prod_ml_mtn; https://aws.amazon.com/de/ai/use-cases/?use-cases.sort-by=item.additionalFields.priority&use-cases.sort-order=asc&awsf.use-case-area=*all&awsf.industry=*all&awsf.business-function=*all&awsf.business-outcome=*all&awsf.type=*all ; https://aws.amazon.com/de/lookout-for-equipment/?nc2=h_ql_prod_ml_lfe";Pay Per Use;Regression;"AI Inference API; AI Training API";Specialized AI/DS Knowledge;"Internal Data; Customer Data";Structured Data;Full Model Training;"Continuous; Periodic/Batch; On-Demand/Batch";"Analytics; Automation";Insight
AWS;Amazon Lookout for Vision;https://aws.amazon.com/de/lookout-for-vision/?nc2=h_ql_prod_ml_lfv;Pay Per Use;Computer Vision;AI Training API;General IT Knowledge;"Internal Data; Customer Data";Unstructured Data;Fine Tuning;On-Demand/Batch;"Analytics; Automation";"Efficiency; Performance; Insight; Convenience"
AWS;"AWS Rekognition; AI vision Services (MRT Scans, Error Handling through visual inspection, Workplace Safety, quality control);";"https://aws.amazon.com/rekognition/?nc2=h_ql_prod_ml_rek; https://aws.amazon.com/what-is/computer-vision/; https://aws.amazon.com/de/ai/use-cases/?use-cases.sort-by=item.additionalFields.priority&use-cases.sort-order=asc&awsf.use-case-area=*all&awsf.industry=*all&awsf.business-function=*all&awsf.business-outcome=*all&awsf.type=*all";"Pay per Use; Subscription";Computer Vision;"Inference API; AI Training API";General IT Knowledge;"Internal Data; Customer Data";Unstructured Data;Fine Tuning;On-Demand/Batch;"Analytics; Automation";"Efficiency; Performance; Insight; Convenience"
AWS;"AWS Sagemaker; Amazon Inferentia";"https://aws.amazon.com/de/sagemaker/ ; https://aws.amazon.com/de/ai/machine-learning/inferentia/";Pay per Use;"Classification, Clustering; Regression; Computer Vision; NLP; LLM; Other";AI Infrastructure API;Specialized AI/DS Knowledge;"Internal Data; Customer Data; Public Data; Other External Data";"Unstructured Data; Semi-Structured Data; Structured Data";Fully Configurable;"Continuous; Periodic/Batch; On-Demand/Batch";"Maintainance; Analytics; Automation";"Personalization; Quality; Efficiency; Performance; Insight; Convenience"
AWS;Amazon Augmented AI;https://aws.amazon.com/de/augmented-ai/?nc2=h_ql_prod_ml_aai;Pay per Use;NLP;AI Training API;General IT Knowledge;"Internal Data; Customer Data";Semi-Structured Data;Fine Tuning;On-Demand/Batch;"Support; Automation";"Personalization; Performance; Convenience"
